Carimbo de data/hora,Você conhece o GDE? ,"Se você usa o GDE, quais funcionalidades costuma utilizar com mais frequência?  ",Você acredita que uma versão mobile do GDE te ajudaria no dia a dia? ,Quais funcionalidades você gostaria de ver na versão mobile do GDE? ,  Deseja fazer algum comentário adicional?  
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Talvez, dependendo das funcionalidades","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)","Facilitem a tela de login, as vezes tenho preguiça de entrar no GDE pois tenho que entrar no navegador e fazer o login, se voces conseguissem deixar isso mais facil com certeza teria minha adesão maior
"
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas, Planejador de curso","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)","Apenas agradecer a existência no GDE, não consigo imaginar a organização da graduação sem ele, uma versão mobile ajudaria ainda mais pra facilitar o acesso a ele "
08/10/2025,"Sim, mas usei poucas vezes","Montar grade horária, Árvore / Integralização, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Planejador de curso, Social","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso)",
08/10/2025,"Sim, mas usei poucas vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas, Planejador de curso, Social","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Talvez, dependendo das funcionalidades","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Talvez, dependendo das funcionalidades","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas","Talvez, dependendo das funcionalidades","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas, Planejador de curso, Mapa do campus","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso, Social","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Planejador de curso","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",Opção que dê para exportar grade para google agenda
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Talvez, dependendo das funcionalidades","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso, Mapa do campus, Social","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)","O GDE mobile poderia ter uma função de portabilidade direta com o web, e toda alteração feita no móbile seria automaticamente aplicada ao web. Não sei se já pensaram nisso, mas acho que seria essencial."
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Planejador de curso","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
09/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Planejador de curso","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
